OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,openjpa,jdbc,meta,ClassMapping,getDefinedFieldMappings();12;1975;;;org,apache,openjpa,jdbc,meta,ClassMapping,getDefinedFieldMappings();12;10271;;0;8296;80,7711031058
org,apache,commons,collections,map,AbstractReferenceMap,purgeBeforeWrite();12;5136;;;org,apache,commons,collections,map,AbstractReferenceMap,purgeBeforeWrite();12;5135;;0;-1;-0,0194741967
org,apache,commons,collections,map,AbstractHashedMap,checkCapacity();12;1185;;;org,apache,commons,collections,map,AbstractHashedMap,checkCapacity();12;1975;;0;790;40
org,apache,commons,collections,map,AbstractReferenceMap,put(java,lang,Object,java,lang,Object);12;112989;;;org,apache,commons,collections,map,AbstractReferenceMap,put(java,lang,Object,java,lang,Object);12;102323;;0;-10666;-10,4238538745
org,apache,commons,collections,map,AbstractHashedMap,addMapping(int,int,java,lang,Object,java,lang,Object);12;49778;;;org,apache,commons,collections,map,AbstractHashedMap,addMapping(int,int,java,lang,Object,java,lang,Object);12;47408;;0;-2370;-4,9991562605
org,apache,commons,collections,map,AbstractReferenceMap,access$000(org,apache,commons,collections,map,AbstractReferenceMap);12;395;;;org,apache,commons,collections,map,AbstractReferenceMap,access$000(org,apache,commons,collections,map,AbstractReferenceMap);12;1185;;0;790;66,6666666667
org,apache,openjpa,kernel,FetchConfigurationImpl,getLockTimeout();11;2371;;;org,apache,openjpa,kernel,FetchConfigurationImpl,getLockTimeout();11;2765;;0;394;14,2495479204
org,apache,openjpa,jdbc,sql,ResultSetResult,nextInternal();11;1054024;;;org,apache,openjpa,jdbc,sql,ResultSetResult,nextInternal();11;547162;;0;-506862;-92,6347224405
org,apache,openjpa,persistence,criteria,Expressions,returnCopy(java,util,Set);11;9481;;;org,apache,openjpa,jdbc,meta,ClassMapping,getPrimaryKeyColumns();11;7901;;0;-1580;-19,9974686749
org,apache,openjpa,jdbc,meta,ClassMapping,getPrimaryKeyColumns();11;9087;;;org,apache,openjpa,lib,jdbc,DelegatingResultSet,next();11;539262;;0;530175;98,3149192786
org,apache,openjpa,lib,jdbc,DelegatingResultSet,next();11;1041381;;;org,apache,openjpa,jdbc,kernel,JDBCFetchConfigurationImpl,newInstance(org,apache,openjpa,kernel,FetchConfigurationImpl$ConfigurationState);11;4345;;0;-1037036;-23867,3417721519
org,apache,openjpa,jdbc,kernel,JDBCFetchConfigurationImpl,newInstance(org,apache,openjpa,kernel,FetchConfigurationImpl$ConfigurationState);11;3950;;;org,apache,openjpa,jdbc,sql,AbstractResult,next();11;559014;;0;555064;99,2933987342
org,apache,openjpa,jdbc,sql,AbstractResult,next();11;1071407;;;org,apache,openjpa,kernel,FetchConfigurationImpl,getWriteLockLevel();11;1186;;0;-1070221;-90237,8583473862
org,apache,openjpa,kernel,FetchConfigurationImpl,getWriteLockLevel();11;1976;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,nextInternal();11;553088;;0;551112;99,6427331636
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,nextInternal();11;1063506;;;org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,next();11;566914;;0;-496592;-87,5956494283
org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,next();11;1082074;;;org,apache,openjpa,kernel,QueryImpl$PackingResultObjectProvider,next();11;573236;;0;-508838;-88,7658835105
